"Lead Shipment Number","Tracking Number","Account Number","Invoice Number","Invoice Date","Current Carrier Name","Current Normalized Service","Current Carrier Service","Proposed Carrier Name","Proposed Normalized Service","Ship Date",Zone,"Weight UOM","Actual Weight","Original Billed weight","Proposed Billed Weight","DIM UOM",Length,Width,Height,Volume,"Dim Factor","Container Type","From City","From State","From Zip","From Country","To City","To State","To Zip","To Country","Current Published Rate","Current Discount Percent","Current Discount ($)","Proposed Published Rate","Proposed Discount Percent","Proposed Discount ($)","Current Net Freight","Proposed Net Freight","Current Fuel Net Charge","Proposed Fuel Surcharge (%)","Proposed Fuel Amount","Proposed Fuel Discount Percent","Proposed Fuel Discount Amount","Proposed Fuel Net Charge","Fuel Difference($)","Current Other Net Accessorial","Proposed Other Net Accessorial","Accessorial Difference($)","Current Total Cost","Proposed Total Cost",Diff($)
,1Z0796650398356554,00003X914A,0000003X914A114,2024-03-16,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-03-07,8,lb,35.00,35.00,35.00,in,18.00,15.00,10.00,"2,700.00",194.00,PKG,SPRINGFIELD,NJ,07081,US,LINDON,UT,84042,US,61.95,38.51,23.86,61.95,54.00,33.45,38.09,28.50,6.00,15.75,4.49,0.00,0.00,4.49,1.51,0,0,0,44.09,32.99,11.10
,1Z0796650399265169,00003X914A,0000003X914A114,2024-03-16,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-03-07,8,lb,35.00,35.00,35.00,in,18.00,15.00,10.00,"2,700.00",194.00,PKG,SPRINGFIELD,NJ,07081,US,LINDON,UT,84042,US,61.95,38.51,23.86,61.95,54.00,33.45,38.09,28.50,6.00,15.75,4.49,0.00,0.00,4.49,1.51,0,0,0,44.09,32.99,11.10
,1Z09772W0314403901,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,50.00,13.64,21.86,13.64,3.39,15.25,2.08,0.00,0.00,2.08,1.31,0,0,0,25.25,15.72,9.53
,1Z09772W0314403938,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,50.00,13.64,21.86,13.64,3.39,15.25,2.08,0.00,0.00,2.08,1.31,0,0,0,25.25,15.72,9.53
,1Z09772W0314403947,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,50.00,13.64,21.86,13.64,3.39,15.25,2.08,0.00,0.00,2.08,1.31,0,0,0,25.25,15.72,9.53
,1Z09772W0314403956,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","SHIPPING CHARGE CORRECTION GROUND",FedEx,"Ground Comm(D)",2024-02-07,7,lb,7.00,19.00,14.00,in,22.00,13.00,9.00,"2,574.00",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,22.18,1.44,0.32,22.18,50.00,11.09,21.86,11.09,3.39,15.25,1.69,0.00,0.00,1.69,1.7,0,0,0,25.25,12.78,12.47
,1Z09772W0314404115,00003X914A,0000003X914A074,2024-02-17,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-07,7,lb,19.00,19.00,19.00,in,21.40,13.40,9.00,"2,580.84",194.00,PKG,NOBLESVILLE,IN,"46060 8802",US,LINDON,UT,84042,US,32.87,33.50,11.01,27.28,50.00,13.64,21.86,13.64,3.39,15.25,2.08,0.00,0.00,2.08,1.31,0,0,0,25.25,15.72,9.53
,1Z11WF630302767994,00003X914A,0000003X914A064,2024-02-10,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-02,4,lb,4.00,4.00,4.00,in,12.00,10.00,4.00,480.00,194.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,15.11,27.47,4.15,15.11,46.00,6.95,10.96,10.70,1.67,15.25,1.63,0.00,0.00,1.63,0.04,0,0,0,12.63,12.33,0.30
,1Z11WF630302830834,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,38.00,38.00,38.00,in,20.00,12.00,12.00,"2,880.00",194.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,32.06,38.52,12.35,32.23,54.00,17.40,19.71,14.83,3.15,16.00,2.37,0.00,0.00,2.37,0.78,0,0,0,22.86,17.20,5.66
,1Z11WF630302830898,00003X914A,0000003X914A094,2024-03-02,UPS,"Ground Comm(D)","GROUND COMMERCIAL COLLECT",FedEx,"Ground Comm(D)",2024-02-27,4,lb,41.00,43.00,41.00,in,25.00,18.00,13.00,"5,850.00",194.00,PKG,RENO,NV,"89506 8930",US,LINDON,UT,84042,US,35.80,38.49,13.78,34.59,54.00,18.68,22.02,15.91,3.52,16.00,2.55,0.00,0.00,2.55,0.97,0,0,0,25.54,18.46,7.08
