"Tracking Number","Invoice Number","Normalized Charge Code Name","Carrier Charge Code Name","Current Published Rate","Current Net Amount","Proposed Published Rate","Proposed Discount Percentage","Proposed Discount Amount","Proposed Net Amount","Difference ($)"
1Z3657440346749197,000000365744023,"Fuel Surcharge","Fuel Surcharge",2.61,1.51,1.48,0.00,0.00,1.48,0.03
1Z97065R0353666538,00000097065R033,"Fuel Surcharge","Fuel Surcharge",1.87,1.41,1.48,0.00,0.00,1.48,-0.07
1Z10710F0354564382,00000010710F043,"Declared Value","Declared Value",9.10,4.44,4.55,50.00,0.11,4.44,8.8817841970013E-16
1Z10710F0354564382,00000010710F043,"Fuel Surcharge","Fuel Surcharge",2.55,1.48,1.46,0.00,0.00,1.46,0.02
1Z97065R0353483824,00000097065R043,"Fuel Surcharge","Fuel Surcharge",2.32,1.41,1.46,0.00,0.00,1.46,-0.05
1Z10710F0353440418,00000010710F053,Handling,"ADDL. HANDLING WEIGHT",29.00,20.30,14.50,50.00,0.03,14.47,5.83
1Z10710F0353440418,00000010710F053,"Declared Value","Declared Value",3.90,0.74,1.95,50.00,0.26,1.69,-0.95
1Z10710F0353440418,00000010710F053,"Peak Surcharge","DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,50.00,0.14,3.36,0.14
1Z10710F0353440418,00000010710F053,"Fuel Surcharge","Fuel Surcharge",9.57,6.15,4.45,0.00,0.00,4.45,1.7
1Z1789X70376214703,0000001789X7063,"Fuel Surcharge","Fuel Surcharge",2.26,1.43,1.48,0.00,0.00,1.48,-0.05
1Z3334720348880625,000000333472063,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.50,2.25,2.25,50.00,0.22,2.03,0.22
1Z3334720348880625,000000333472063,"Fuel Surcharge","Fuel Surcharge",2.72,1.79,1.84,0.00,0.00,1.84,-0.05
1Z3657440346765286,000000365744063,"Fuel Surcharge","Fuel Surcharge",3.45,1.97,1.48,0.00,0.00,1.48,0.49
1Z97065R0352900768,00000097065R063,"Fuel Surcharge","Fuel Surcharge",1.84,1.43,1.48,0.00,0.00,1.48,-0.05
1Z3209700362038811,000000320970073,"Fuel Surcharge","Fuel Surcharge",5.00,2.90,1.87,0.00,0.00,1.87,1.03
1Z3657440348233052,000000365744073,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.50,2.25,2.25,50.00,0.22,2.03,0.22
1Z3657440348233052,000000365744073,"Fuel Surcharge","Fuel Surcharge",5.45,2.92,1.99,0.00,0.00,1.99,0.93
1Z10710F0352909745,00000010710F083,"Residential Fee","Residential Surcharge",5.25,2.62,2.58,50.00,0.19,2.39,0.23
1Z10710F0352909745,00000010710F083,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",7.15,3.57,3.57,0.00,0.00,3.57,0
1Z10710F0352909745,00000010710F083,"Declared Value","Declared Value",3.90,0.74,1.95,50.00,0.26,1.69,-0.95
1Z10710F0352909745,00000010710F083,"Fuel Surcharge","Fuel Surcharge",4.71,2.88,2.44,0.00,0.00,2.44,0.44
1Z3657440346605270,000000365744083,"Fuel Surcharge","Fuel Surcharge",2.53,1.47,1.43,0.00,0.00,1.43,0.04
1ZT638T00348772393,000000549238083,Administration,"THIRD PARTY BILLING SERVICE",0.85,0.40,0.00,100.00,0,0,0.4
1ZT638T00348772393,000000549238083,"Fuel Surcharge","Fuel Surcharge",2.25,1.42,1.43,0.00,0.00,1.43,-0.01
