"Tracking Number","Invoice Number","Normalized Charge Code Name","Carrier Charge Code Name","Current Published Rate","Current Net Amount","Proposed Published Rate","Proposed Discount Percentage","Proposed Discount Amount","Proposed Net Amount","Difference ($)"
1Z3X914A0397495360,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.35,3.64,2.83,0.00,0.00,2.83,0.81
1Z3X914A0397495360,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0397453511,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.78,2.45,2.15,0.00,0.00,2.15,0.3
1Z3X914A0397453511,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0395895155,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.35,2.56,2.20,0.00,0.00,2.2,0.36
1Z3X914A0395895155,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0396205371,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.55,3.77,2.83,0.00,0.00,2.83,0.94
1Z3X914A0396205371,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0192508340,0000003X914A124,"Additional Handling","ADDL. HANDLING LONGEST SIDE",28.25,28.25,28.25,25.00,0.01,28.24,0.010000000000002
1Z3X914A0192508340,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",30.62,18.42,12.69,0.00,0.00,12.69,5.73
1Z3X914A0192508340,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0192508340,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,25.00,0.07,3.43,0.07
1Z3X914A0399247526,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.73,5.26,4.06,0.00,0.00,4.06,1.2
1Z3X914A0397975627,0000003X914A124,"Fuel Surcharge","Shipping Charge Correction Fuel Surcharge",3.67,2.59,2.15,0.00,0.00,2.15,0.44
1Z3X914A0397975627,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0395799054,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",7.62,4.84,3.91,0.00,0.00,3.91,0.93
1Z3X914A0395799054,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0395895137,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.73,5.26,4.06,0.00,0.00,4.06,1.2
1Z4899730368674722,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.10,2.15,1.67,0.00,0.00,1.67,0.48
1Z3X914A0399893471,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",7.62,4.84,3.91,0.00,0.00,3.91,0.93
1Z3X914A0399893471,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z8799640372890291,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.50,2.62,2.20,0.00,0.00,2.2,0.42
1Z8799640372890291,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397932244,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.11,4.04,0.00,0.00,4.04,1.07
1Z3X914A0397932244,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z9Y75100391796558,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.82,2.54,1.89,0.00,0.00,1.89,0.65
1Z3X914A0397577101,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.10,4.66,0.00,0.00,4.66,0.44
1Z3X914A0397577101,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z5736070356709772,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.86,2.31,2.20,0.00,0.00,2.2,0.11
1Z5736070356709772,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397527469,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.11,4.04,0.00,0.00,4.04,1.07
1Z3X914A0397527469,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0398292345,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.68,7.40,1.99,0.00,0.00,1.99,5.41
1Z3X914A0393450834,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.02,2.46,2.15,0.00,0.00,2.15,0.31
1Z3X914A0393450834,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0393228245,0000003X914A124,"Additional Handling","ADDL. HANDLING WEIGHT",37.50,37.50,28.13,25.00,0.01,28.12,9.38
1Z3X914A0393228245,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",18.63,13.79,11.56,0.00,0.00,11.56,2.23
1Z3X914A0393228245,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,25.00,0.07,3.43,0.07
1Z3X914A0393222858,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",4.22,2.65,2.28,0.00,0.00,2.28,0.37
1Z3X914A0394162724,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.43,2.58,2.15,0.00,0.00,2.15,0.43
1Z3X914A0394162724,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0393878936,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.72,2.46,2.15,0.00,0.00,2.15,0.31
1Z3X914A0393878936,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0393258669,0000003X914A124,"Delivery Area Surcharge","Remote Area Surcharge",14.15,14.15,14.15,0.00,0.00,14.15,0
1Z3X914A0393258669,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",4.85,4.10,3.80,0.00,0.00,3.8,0.3
1Z3X914A0392693904,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.59,2.80,2.01,0.00,0.00,2.01,0.79
1Z3X914A0392693904,0000003X914A124,"Residential Fee","Residential Surcharge",5.65,5.65,2.78,50.00,0.18,2.6,3.05
1Z3X914A0399704906,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.02,2.46,2.15,0.00,0.00,2.15,0.31
1Z3X914A0399704906,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0398862952,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.54,2.61,2.20,0.00,0.00,2.2,0.41
1Z3X914A0398862952,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0398389312,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.59,2.69,2.15,0.00,0.00,2.15,0.54
1Z3X914A0398389312,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.68,25.00,0.07,3.61,1.29
1Z3X914A0397886938,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",4.84,3.28,2.59,0.00,0.00,2.59,0.69
1Z3X914A0397886938,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397871328,0000003X914A124,"Additional Handling","ADDL. HANDLING LONGEST SIDE",28.25,28.25,20.25,25.00,0.01,20.24,8.01
1Z3X914A0397871328,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.44,7.54,5.94,0.00,0.00,5.94,1.6
1Z3X914A0397871328,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397871328,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,25.00,0.07,3.43,0.07
1Z3X914A0393726000,0000003X914A134,"Fuel Surcharge","Shipping Charge Correction Fuel Surcharge",3.30,2.72,2.01,0.00,0.00,2.01,0.71
1Z3X914A0393726000,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,2.78,50.00,0.18,2.6,3.05
1Z3X914A0395008809,0000003X914A134,"Additional Handling","ADDL. HANDLING WEIGHT",41.50,41.50,30.00,25.00,0.01,29.99,11.51
1Z3X914A0395008809,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",17.14,14.38,10.86,0.00,0.00,10.86,3.52
1Z3X914A0395008809,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",5.70,5.70,4.28,25.00,0.06,4.22,1.48
1Z3X914A0395008809,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,2.78,50.00,0.18,2.6,3.05
1Z3X914A0395008809,0000003X914A134,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,25.00,0.07,3.43,0.07
