"Tracking Number","Invoice Number","Normalized Charge Code Name","Carrier Charge Code Name","Current Published Rate","Current Net Amount","Proposed Published Rate","Proposed Discount Percentage","Proposed Discount Amount","Proposed Net Amount","Difference ($)"
1Z3X914A0397495360,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.35,3.64,3.53,0.00,0.00,3.53,0.11
1Z3X914A0397495360,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0397453511,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.78,2.45,2.46,0.00,0.00,2.46,-0.0099999999999998
1Z3X914A0397453511,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0395895155,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.35,2.56,2.43,0.00,0.00,2.43,0.13
1Z3X914A0395895155,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0396205371,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.55,3.77,3.53,0.00,0.00,3.53,0.24
1Z3X914A0396205371,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0192508340,0000003X914A124,"Additional Handling","ADDL. HANDLING LONGEST SIDE",28.25,28.25,28.25,0.00,0.00,28.25,0
1Z3X914A0192508340,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",30.62,18.42,15.83,0.00,0.00,15.83,2.59
1Z3X914A0192508340,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0192508340,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z3X914A0399247526,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.73,5.26,4.66,0.00,0.00,4.66,0.6
1Z3X914A0397975627,0000003X914A124,"Fuel Surcharge","Shipping Charge Correction Fuel Surcharge",3.67,2.59,2.55,0.00,0.00,2.55,0.04
1Z3X914A0397975627,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0395799054,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",7.62,4.84,4.40,0.00,0.00,4.4,0.44
1Z3X914A0395799054,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0395895137,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.73,5.26,4.66,0.00,0.00,4.66,0.6
1Z4899730368674722,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.10,2.15,2.17,0.00,0.00,2.17,-0.02
1Z3X914A0399893471,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",7.62,4.84,4.40,0.00,0.00,4.4,0.44
1Z3X914A0399893471,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z8799640372890291,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.50,2.62,2.63,0.00,0.00,2.63,-0.0099999999999998
1Z8799640372890291,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397932244,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.11,4.55,0.00,0.00,4.55,0.56
1Z3X914A0397932244,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z9Y75100391796558,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.82,2.54,2.31,0.00,0.00,2.31,0.23
1Z3X914A0397577101,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.10,5.26,0.00,0.00,5.26,-0.16
1Z3X914A0397577101,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z5736070356709772,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.86,2.31,2.31,0.00,0.00,2.31,0
1Z5736070356709772,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397527469,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.11,4.55,0.00,0.00,4.55,0.56
1Z3X914A0397527469,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0398292345,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.68,7.40,2.43,0.00,0.00,2.43,4.97
1Z3X914A0393450834,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.02,2.46,2.46,0.00,0.00,2.46,0
1Z3X914A0393450834,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0393228245,0000003X914A124,"Additional Handling","ADDL. HANDLING WEIGHT",37.50,37.50,37.50,0.00,0.00,37.5,0
1Z3X914A0393228245,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",18.63,13.79,14.01,0.00,0.00,14.01,-0.22
1Z3X914A0393228245,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z3X914A0393222858,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",4.22,2.65,2.61,0.00,0.00,2.61,0.04
1Z3X914A0394162724,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.43,2.58,2.61,0.00,0.00,2.61,-0.03
1Z3X914A0394162724,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0393878936,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.72,2.46,2.46,0.00,0.00,2.46,0
1Z3X914A0393878936,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0393258669,0000003X914A124,"Delivery Area Surcharge","Remote Area Surcharge",14.15,14.15,14.15,0.00,0.00,14.15,0
1Z3X914A0393258669,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",4.85,4.10,4.00,0.00,0.00,4,0.1
1Z3X914A0392693904,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.59,2.80,2.66,0.00,0.00,2.66,0.14
1Z3X914A0392693904,0000003X914A124,"Residential Fee","Residential Surcharge",5.65,5.65,5.55,0.00,0.00,5.55,0.1
1Z3X914A0399704906,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.02,2.46,2.46,0.00,0.00,2.46,0
1Z3X914A0399704906,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0398862952,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.54,2.61,2.60,0.00,0.00,2.6,0.0099999999999998
1Z3X914A0398862952,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0398389312,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.59,2.69,2.75,0.00,0.00,2.75,-0.06
1Z3X914A0398389312,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0397886938,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",4.84,3.28,2.88,0.00,0.00,2.88,0.4
1Z3X914A0397886938,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397871328,0000003X914A124,"Additional Handling","ADDL. HANDLING LONGEST SIDE",28.25,28.25,27.00,0.00,0.00,27,1.25
1Z3X914A0397871328,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.44,7.54,7.35,0.00,0.00,7.35,0.19
1Z3X914A0397871328,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397871328,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z3X914A0393726000,0000003X914A134,"Fuel Surcharge","Shipping Charge Correction Fuel Surcharge",3.30,2.72,2.63,0.00,0.00,2.63,0.09
1Z3X914A0393726000,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,5.55,0.00,0.00,5.55,0.1
1Z3X914A0395008809,0000003X914A134,"Additional Handling","ADDL. HANDLING WEIGHT",41.50,41.50,40.00,0.00,0.00,40,1.5
1Z3X914A0395008809,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",17.14,14.38,13.76,0.00,0.00,13.76,0.62
1Z3X914A0395008809,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",5.70,5.70,5.70,0.00,0.00,5.7,0
1Z3X914A0395008809,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,5.55,0.00,0.00,5.55,0.1
1Z3X914A0395008809,0000003X914A134,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z8799640373369273,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.40,2.05,2.12,0.00,0.00,2.12,-0.07
1Z5RX2730351710772,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",2.75,1.87,1.93,0.00,0.00,1.93,-0.06
1Z8799640372323957,0000003X914A134,"Additional Handling","ADDL. HANDLING WEIGHT",34.50,34.50,34.50,0.00,0.00,34.5,0
1Z8799640372323957,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",10.85,8.91,9.01,0.00,0.00,9.01,-0.1
1Z8799640372323957,0000003X914A134,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z6609020359022041,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.63,2.37,2.24,0.00,0.00,2.24,0.13
1Z3X914A0395470756,0000003X914A134,"Additional Handling","ADDL. HANDLING WEIGHT",41.50,41.50,40.00,0.00,0.00,40,1.5
1Z3X914A0395470756,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",16.39,13.88,13.31,0.00,0.00,13.31,0.57
1Z3X914A0395470756,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",5.70,5.70,5.70,0.00,0.00,5.7,0
1Z3X914A0395470756,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,5.55,0.00,0.00,5.55,0.1
1Z3X914A0395470756,0000003X914A134,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z2R0E660351731174,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.79,2.47,2.22,0.00,0.00,2.22,0.25
1Z2R0E660351731174,0000003X914A134,"Third Party","THIRD PARTY BILLING SERVICE",1.39,0.91,0.00,100.00,0,0,0.91
1Z3X914A0359726253,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",8.18,5.91,5.39,0.00,0.00,5.39,0.52
1Z3X914A0359726253,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,5.55,0.00,0.00,5.55,0.1
1Z3X914A0358414074,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.45,2.83,2.77,0.00,0.00,2.77,0.06
1Z3X914A0358414074,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,5.55,0.00,0.00,5.55,0.1
1Z3X914A0359258885,0000003X914A134,"Delivery Area Surcharge","Remote Area Surcharge",14.15,14.15,14.15,0.00,0.00,14.15,0
1Z3X914A0359258885,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",4.56,3.91,3.91,0.00,0.00,3.91,0
1Z3X914A0358148915,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.08,2.31,2.34,0.00,0.00,2.34,-0.03
1Z3X914A0358148915,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0358084127,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.00,2.46,2.46,0.00,0.00,2.46,0
1Z3X914A0358084127,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0359792299,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.89,3.01,2.81,0.00,0.00,2.81,0.2
1Z3X914A0359792299,0000003X914A134,"Residential Fee","Residential Surcharge",5.65,5.65,5.55,0.00,0.00,5.55,0.1
1Z3X914A0390386866,0000003X914A134,"Additional Handling","ADDL. HANDLING LONGEST SIDE",28.25,28.25,27.00,0.00,0.00,27,1.25
1Z3X914A0390386866,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",8.44,7.54,7.40,0.00,0.00,7.4,0.14
1Z3X914A0390386866,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0390386866,0000003X914A134,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z3X914A0291287053,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",7.01,4.10,4.14,0.00,0.00,4.14,-0.04
1Z3X914A0291287053,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0196743338,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",24.84,12.95,9.69,0.00,0.00,9.69,3.26
1Z3X914A0196743338,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0195089306,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",54.33,27.77,24.07,0.00,0.00,24.07,3.7
1Z3X914A0195089306,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0396921285,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",6.07,3.65,3.78,0.00,0.00,3.78,-0.13
1Z3X914A0391095713,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",6.39,4.24,4.06,0.00,0.00,4.06,0.18
1Z3X914A0391095713,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0393698827,0000003X914A134,"Additional Handling","ADDL. HANDLING WEIGHT",34.50,34.50,34.50,0.00,0.00,34.5,0
1Z3X914A0393698827,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",10.89,9.25,9.32,0.00,0.00,9.32,-0.07
1Z3X914A0393698827,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0393698827,0000003X914A134,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z3X914A0391239675,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",5.99,4.12,4.19,0.00,0.00,4.19,-0.07
1Z3X914A0391239675,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0391659819,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",3.98,2.78,2.77,0.00,0.00,2.77,0.0099999999999998
1Z3X914A0391659819,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0391627031,0000003X914A134,"Address Correction","Address Correction Ground",21.00,21.00,22.50,0.00,0.00,22.5,-1.5
1Z3X914A0391627031,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",2.97,2.46,2.46,0.00,0.00,2.46,0
1Z3X914A0391627031,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,4.90,0.00,0.00,4.9,0
1Z3X914A0398319567,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",2.62,1.87,1.77,0.00,0.00,1.77,0.1
1Z3X914A0394562766,0000003X914A134,"Fuel Surcharge","FUEL SURCHARGE",2.86,2.31,2.31,0.00,0.00,2.31,0
1Z3X914A0394562766,0000003X914A134,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0399839235,0000003X914A134,"Additional Handling","ADDL. HANDLING WEIGHT",41.50,41.50,40.00,0.00,0.00,40,1.5
