"Tracking Number","Invoice Number","Normalized Charge Code Name","Carrier Charge Code Name","Current Published Rate","Current Net Amount","Proposed Published Rate","Proposed Discount Percentage","Proposed Discount Amount","Proposed Net Amount","Difference ($)"
1Z3X914A0397495360,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.35,3.64,2.12,0.00,0.00,2.12,1.52
1Z3X914A0397495360,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.19,35.00,0.11,3.08,1.82
1Z3X914A0397453511,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",2.78,2.45,2.11,0.00,0.00,2.11,0.34
1Z3X914A0397453511,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.19,35.00,0.11,3.08,1.82
1Z3X914A0395895155,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.35,2.56,2.23,0.00,0.00,2.23,0.33
1Z3X914A0395895155,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0396205371,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",5.55,3.77,2.19,0.00,0.00,2.19,1.58
1Z3X914A0396205371,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.19,35.00,0.11,3.08,1.82
1Z3X914A0192508340,0000003X914A124,"Additional Handling","ADDL. HANDLING LONGEST SIDE",28.25,28.25,28.25,35.00,0.01,28.24,0.010000000000002
1Z3X914A0192508340,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",30.62,18.42,12.25,0.00,0.00,12.25,6.17
1Z3X914A0192508340,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0192508340,0000003X914A124,Demand,"DEMAND SURCHARGE-ADDL HANDLING",3.50,3.50,3.50,0.00,0.00,3.5,0
1Z3X914A0399247526,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.73,5.26,2.76,0.00,0.00,2.76,2.5
1Z3X914A0397975627,0000003X914A124,"Fuel Surcharge","Shipping Charge Correction Fuel Surcharge",3.67,2.59,2.11,0.00,0.00,2.11,0.48
1Z3X914A0397975627,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge - Extended",4.90,4.90,3.19,35.00,0.11,3.08,1.82
1Z3X914A0395799054,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",7.62,4.84,2.78,0.00,0.00,2.78,2.06
1Z3X914A0395799054,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0395895137,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.73,5.26,2.76,0.00,0.00,2.76,2.5
1Z4899730368674722,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.10,2.15,1.61,0.00,0.00,1.61,0.54
1Z3X914A0399893471,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",7.62,4.84,2.78,0.00,0.00,2.78,2.06
1Z3X914A0399893471,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z8799640372890291,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.50,2.62,2.23,0.00,0.00,2.23,0.39
1Z8799640372890291,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z3X914A0397932244,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.11,2.89,0.00,0.00,2.89,2.22
1Z3X914A0397932244,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
1Z9Y75100391796558,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",3.82,2.54,1.61,0.00,0.00,1.61,0.93
1Z3X914A0397577101,0000003X914A124,"Fuel Surcharge","FUEL SURCHARGE",8.06,5.10,3.61,0.00,0.00,3.61,1.49
1Z3X914A0397577101,0000003X914A124,"Delivery Area Surcharge","Delivery Area Surcharge",3.95,3.95,3.95,0.00,0.00,3.95,0
